Date,equal_weight,classical_markowitz,robust_markowitz
2022-03-02,1.5764795064948072,1.2772809804988434,1.03508062530615
2022-03-03,1.5694554689877134,1.2681378645176542,1.0350511211965536
2022-03-04,1.558505293593696,1.2551764482086434,1.0372026109149994
2022-03-07,1.527675630575345,1.2160978113885097,1.0249305866947738
2022-03-08,1.528987669031869,1.2178476768276105,1.0224137838146854
2022-03-09,1.551885555327193,1.24820691868917,1.0271455638613045
2022-03-10,1.5429326618264978,1.2423747805688674,1.0260455805760884
2022-03-11,1.5300989876795328,1.2272865778489352,1.0228001544227368
2022-03-14,1.5158080815205242,1.2155594463775383,1.0145636238208202
2022-03-15,1.5283158607146907,1.242152246355872,1.019189895377915
2022-03-16,1.565490983064349,1.268748478792313,1.0250914819235013
2022-03-17,1.5819758230048888,1.2849384730055293,1.0349352415556068
2022-03-18,1.5936907676078778,1.296832175978273,1.0378827131708257
2022-03-21,1.5905315866829681,1.2900661465787528,1.0324391462281772
2022-03-22,1.602153214982273,1.3002507212086203,1.033501344494891
2022-03-23,1.591479625509366,1.2794032962470336,1.032967503116428
2022-03-24,1.6029758290379945,1.2959982779882013,1.0345462839154735
2022-03-25,1.6057210531044857,1.2938318756373144,1.0310090993082721
2022-03-28,1.6045762313340628,1.300178250765117,1.031840309796629
2022-03-29,1.6266631957326108,1.319944146681514,1.0365987012663003
2022-03-30,1.6207616211144455,1.3022177389550051,1.03638652456387
2022-03-31,1.601829839737177,1.285953521117297,1.0339394501706258
2022-04-01,1.6109378415079496,1.2974442191568678,1.03803091369864
2022-04-04,1.6206857228023333,1.3057750650028348,1.0425244311803907
2022-04-05,1.6008568700588228,1.2898686505761567,1.0373189109073926
2022-04-06,1.5894124564862409,1.284818988252202,1.0370372168681394
2022-04-07,1.5901093628439396,1.2909611548618316,1.0367844941941655
2022-04-08,1.5902358323670085,1.3031965348572954,1.0433603277563839
2022-04-11,1.5763873593705855,1.2963973260843822,1.0414631079902625
2022-04-12,1.5767374899647761,1.3058230132816795,1.0444885217647992
2022-04-13,1.593880008030074,1.3272719148657588,1.049972158610494
2022-04-14,1.5826565297598287,1.327158972382879,1.0482511905749565
2022-04-18,1.581482057128749,1.3366745931654966,1.051759983691501
2022-04-19,1.5887580259459897,1.3276302794901715,1.045926452165075
2022-04-20,1.5941849056892108,1.3330925166173624,1.0532825002122188
2022-04-21,1.574038951882581,1.303436863416888,1.0439883251972888
2022-04-22,1.5459890365448958,1.2685446483179275,1.028175889062467
2022-04-25,1.5470728799580986,1.2604828635368792,1.0258344691066015
2022-04-26,1.5197501432452374,1.2449670020802905,1.0180482633157746
2022-04-27,1.5229273669774352,1.253553497509056,1.0201567267495002
2022-04-28,1.5435015567243549,1.2729766527251125,1.0295893539212604
2022-04-29,1.5139185706458371,1.2440787347204416,1.0129095657907499
2022-05-02,1.5149212617610002,1.2493554232681054,1.011036238986888
2022-05-03,1.5238489799536192,1.2668511098157518,1.017414391439351
2022-05-04,1.5553156662814807,1.297726144043266,1.0309299856702667
2022-05-05,1.514277841269947,1.2664266348206237,1.0170502634511605
2022-05-06,1.5012546770426134,1.2594388751743852,1.0131900290214326
2022-05-09,1.4604785836045924,1.2022034304186517,0.992588607786717
2022-05-10,1.462019779353115,1.198226600818112,0.9896109566570096
2022-05-11,1.4539464167937788,1.1981237912253568,0.9911805772675115
2022-05-12,1.4553903306419471,1.1964338509251329,0.9884129937917729
2022-05-13,1.4826523664156768,1.2199239291789084,0.9971425306346128
