strategy,gamma,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover,final_portfolio_value,rho,cov_uncertainty
robust_markowitz,30.0,0.13258810455448522,0.014370283761597324,0.06940568697361299,0.20704764102487297,-0.19578894711165518,0.40752963043929935,1.1325881045544852,0.5,0.15
robust_markowitz,30.0,0.13399581105156066,0.014514685726836563,0.06898292716501614,0.21040982636349348,-0.19423872929571873,0.4033599965379436,1.1339958110515607,0.5,0.2
robust_markowitz,30.0,0.14713671823617047,0.01585507214545645,0.062051744289513544,0.25551372208783957,-0.1732235022632399,0.34370902985548013,1.1471367182361705,0.75,0.05
robust_markowitz,30.0,0.1467434424903582,0.01581515541420253,0.06174249145546856,0.25614702357142694,-0.17323861033492127,0.3408911207394771,1.1467434424903582,0.75,0.1
robust_markowitz,30.0,0.14661377890410754,0.015801992152866706,0.06142144793500892,0.2572715669221452,-0.17269058113616698,0.33931762494173506,1.1466137789041075,0.75,0.15
robust_markowitz,30.0,0.14692661708707888,0.015833748790943458,0.06110324380174714,0.2591310674490037,-0.17169014010978967,0.33761978385502983,1.1469266170870789,0.75,0.2
robust_markowitz,30.0,0.16018172765110505,0.017172297137873827,0.054099689767283785,0.31741951223274095,-0.1500305003204785,0.2939414958841354,1.160181727651105,1.0,0.05
robust_markowitz,30.0,0.16207526812700324,0.017362407076544573,0.053761013441947794,0.3229553530513863,-0.14783913779137736,0.2905714094134946,1.1620752681270032,1.0,0.1
robust_markowitz,30.0,0.1638435787153536,0.017539696531305493,0.053465454336927384,0.3280566255132563,-0.146005624870706,0.2881246333979352,1.1638435787153536,1.0,0.15
robust_markowitz,30.0,0.16442602505062043,0.017598039936945975,0.053203375310893836,0.3307692384949612,-0.14476621808548695,0.28612835514783486,1.1644260250506204,1.0,0.2
robust_markowitz,30.0,0.1701125106977721,0.018166299249641416,0.044217189390980655,0.41084246872884567,-0.14251805628675307,0.21840161308513464,1.1701125106977721,1.5,0.05
robust_markowitz,30.0,0.16936882934653008,0.01809212118046033,0.04404942828407168,0.41072317814854503,-0.14189868175799958,0.2186397276160689,1.16936882934653,1.5,0.1
robust_markowitz,30.0,0.168296450953771,0.0179850838395621,0.04389917759088248,0.4096906781984331,-0.14176996507404205,0.21847929693483745,1.168296450953771,1.5,0.15
robust_markowitz,30.0,0.16658096958712298,0.017813675418775876,0.043738646501317716,0.4072754153066717,-0.14158924313923726,0.21847005042923084,1.166580969587123,1.5,0.2
